asset_id;read_at;power
601;2024-08-13 23:00:00;11570.7
601;2024-08-14 00:00:00;13415.2
601;2024-08-14 01:00:00;10316.5
601;2024-08-14 02:00:00;7703.33
601;2024-08-14 03:00:00;5142
601;2024-08-14 04:00:00;4728.31
601;2024-08-14 05:00:00;4714.24
601;2024-08-14 06:00:00;6101.59
601;2024-08-14 07:00:00;3303.75
601;2024-08-14 08:00:00;848.83
601;2024-08-14 09:00:00;460.12
601;2024-08-14 10:00:00;448.35
601;2024-08-14 11:00:00;415.87
601;2024-08-14 12:00:00;749.68
601;2024-08-14 13:00:00;1540.51
601;2024-08-14 14:00:00;3780.01
601;2024-08-14 15:00:00;3149.8
601;2024-08-14 16:00:00;2929.15
601;2024-08-14 17:00:00;2074.59
601;2024-08-14 18:00:00;2958.06
601;2024-08-14 19:00:00;4733.12
601;2024-08-14 20:00:00;5463.67
601;2024-08-14 21:00:00;6520.33
601;2024-08-14 22:00:00;6256.67
601;2024-08-14 23:00:00;4538.67
601;2024-08-15 00:00:00;3133
601;2024-08-15 01:00:00;3595.33
601;2024-08-15 02:00:00;3067.83
601;2024-08-15 03:00:00;3085.67
601;2024-08-15 04:00:00;2815.95
601;2024-08-15 05:00:00;3236.22
601;2024-08-15 06:00:00;3841.75
601;2024-08-15 07:00:00;3129.12
601;2024-08-15 08:00:00;3059.68
601;2024-08-15 09:00:00;997.53
601;2024-08-15 10:00:00;182.93
601;2024-08-15 11:00:00;722.48
601;2024-08-15 12:00:00;702.39
601;2024-08-15 13:00:00;2401.72
601;2024-08-15 14:00:00;3087.01
601;2024-08-15 15:00:00;3704.37
601;2024-08-15 16:00:00;3877.91
601;2024-08-15 17:00:00;4285.08
601;2024-08-15 18:00:00;3296.22
601;2024-08-15 19:00:00;2872.63
601;2024-08-15 20:00:00;1869.67
601;2024-08-15 21:00:00;4511.5
601;2024-08-15 22:00:00;4294.17
601;2024-08-15 23:00:00;4786.5
601;2024-08-16 00:00:00;4755.17
601;2024-08-16 01:00:00;5911.33
601;2024-08-16 02:00:00;7548.5
601;2024-08-16 03:00:00;11392
601;2024-08-16 04:00:00;10868.4
601;2024-08-16 05:00:00;8133.42
601;2024-08-16 06:00:00;4275.03
601;2024-08-16 07:00:00;3597.8
601;2024-08-16 08:00:00;2462.26
601;2024-08-16 09:00:00;1447.21
601;2024-08-16 10:00:00;336.78
601;2024-08-16 11:00:00;233.54
601;2024-08-16 12:00:00;695.18
601;2024-08-16 13:00:00;573.62
601;2024-08-16 14:00:00;1150.88
601;2024-08-16 15:00:00;2162.63
601;2024-08-16 16:00:00;1204.8
601;2024-08-16 17:00:00;3387.23
601;2024-08-16 18:00:00;3300.95
601;2024-08-16 19:00:00;3940.96
601;2024-08-16 20:00:00;6262
601;2024-08-16 21:00:00;7787.17
601;2024-08-16 22:00:00;6835.17
601;2024-08-16 23:00:00;6515.33
601;2024-08-17 00:00:00;5001.83
601;2024-08-17 01:00:00;3279.33
601;2024-08-17 02:00:00;2471.17
601;2024-08-17 03:00:00;2753.5
601;2024-08-17 04:00:00;3081.44
601;2024-08-17 05:00:00;5385.3
601;2024-08-17 06:00:00;4200.4
601;2024-08-17 07:00:00;4839.82
601;2024-08-17 08:00:00;6107.03
601;2024-08-17 09:00:00;763.02
601;2024-08-17 10:00:00;1066.99
601;2024-08-17 11:00:00;794.3
601;2024-08-17 12:00:00;1167.61
601;2024-08-17 13:00:00;2293.08
601;2024-08-17 14:00:00;4526.47
601;2024-08-17 15:00:00;3735.89
601;2024-08-17 16:00:00;6013.55
601;2024-08-17 17:00:00;7055.12
601;2024-08-17 18:00:00;10604.7
601;2024-08-17 19:00:00;11387.1
601;2024-08-17 20:00:00;15631
601;2024-08-17 21:00:00;14601.5
601;2024-08-17 22:00:00;12230.8
601;2024-08-17 23:00:00;14895.3
601;2024-08-18 00:00:00;14734.8
601;2024-08-18 01:00:00;14775.5
601;2024-08-18 02:00:00;13872.3
601;2024-08-18 03:00:00;13533.2
601;2024-08-18 04:00:00;10489
601;2024-08-18 05:00:00;13737.7
601;2024-08-18 06:00:00;15596.2
601;2024-08-18 07:00:00;15348.1
601;2024-08-18 08:00:00;8468.23
601;2024-08-18 09:00:00;7487.91
601;2024-08-18 10:00:00;6422.36
601;2024-08-18 11:00:00;5329.43
601;2024-08-18 12:00:00;3180.37
601;2024-08-18 13:00:00;5428.7
601;2024-08-18 14:00:00;3820.41
601;2024-08-18 15:00:00;3322.98
601;2024-08-18 16:00:00;5512.47
601;2024-08-18 17:00:00;8412.1
601;2024-08-18 18:00:00;12141
601;2024-08-18 19:00:00;11212.5
601;2024-08-18 20:00:00;11485.3
601;2024-08-18 21:00:00;12839
601;2024-08-18 22:00:00;13578.7
601;2024-08-18 23:00:00;10165.7
601;2024-08-19 00:00:00;9340.67
601;2024-08-19 01:00:00;10134.7
601;2024-08-19 02:00:00;6218.67
601;2024-08-19 03:00:00;5127.5
601;2024-08-19 04:00:00;5718.34
601;2024-08-19 05:00:00;3472.78
601;2024-08-19 06:00:00;4470.18
601;2024-08-19 07:00:00;6168.01
601;2024-08-19 08:00:00;2073.13
601;2024-08-19 09:00:00;595.74
601;2024-08-19 10:00:00;841.01
601;2024-08-19 11:00:00;1046.13
601;2024-08-19 12:00:00;1487.14
601;2024-08-19 13:00:00;2989.55
601;2024-08-19 14:00:00;3893.19
601;2024-08-19 15:00:00;3458.29
601;2024-08-19 16:00:00;3277.79
601;2024-08-19 17:00:00;5864.23
601;2024-08-19 18:00:00;8993.91
601;2024-08-19 19:00:00;12160.4
601;2024-08-19 20:00:00;8867
601;2024-08-19 21:00:00;11141
601;2024-08-19 22:00:00;8903.17
601;2024-08-19 23:00:00;12226
601;2024-08-20 00:00:00;10557.3
601;2024-08-20 01:00:00;9269.67
601;2024-08-20 02:00:00;11721.7
601;2024-08-20 03:00:00;9283
601;2024-08-20 04:00:00;11423.3
601;2024-08-20 05:00:00;12773.4
601;2024-08-20 06:00:00;13453.5
601;2024-08-20 07:00:00;13607.3
601;2024-08-20 08:00:00;9005.91
601;2024-08-20 09:00:00;4978.21
601;2024-08-20 10:00:00;4107.13
601;2024-08-20 11:00:00;2891.76
601;2024-08-20 12:00:00;3975.26
601;2024-08-20 13:00:00;2422.23
601;2024-08-20 14:00:00;4558.89
601;2024-08-20 15:00:00;3824.86
601;2024-08-20 16:00:00;5055
601;2024-08-20 17:00:00;6007.9
601;2024-08-20 18:00:00;8605.48
601;2024-08-20 19:00:00;8346.38
601;2024-08-20 20:00:00;9891.33
601;2024-08-20 21:00:00;9133.67
601;2024-08-20 22:00:00;8988.33
601;2024-08-20 23:00:00;7605.33
601;2024-08-21 00:00:00;5100.17
601;2024-08-21 01:00:00;2467.5
601;2024-08-21 02:00:00;2413.17
601;2024-08-21 03:00:00;5005.5
601;2024-08-21 04:00:00;346.56
601;2024-08-21 05:00:00;538.28
601;2024-08-21 06:00:00;439.2
601;2024-08-21 07:00:00;3179.59
601;2024-08-21 08:00:00;2377.33
601;2024-08-21 09:00:00;492.63
601;2024-08-21 10:00:00;68.22
601;2024-08-21 11:00:00;60.35
601;2024-08-21 12:00:00;503.12
601;2024-08-21 13:00:00;1398.84
601;2024-08-21 14:00:00;1919.09
601;2024-08-21 15:00:00;1891.12
601;2024-08-21 16:00:00;2376.51
601;2024-08-21 17:00:00;1448.27
601;2024-08-21 18:00:00;468.85
601;2024-08-21 19:00:00;75.36
601;2024-08-21 20:00:00;464.67
601;2024-08-21 21:00:00;507.17
601;2024-08-21 22:00:00;518.17
601;2024-08-21 23:00:00;1939.83
601;2024-08-22 00:00:00;2234.33
601;2024-08-22 01:00:00;2734.5
601;2024-08-22 02:00:00;2856.5
601;2024-08-22 03:00:00;4536.17
601;2024-08-22 04:00:00;6445.46
601;2024-08-22 05:00:00;8056.09
601;2024-08-22 06:00:00;7768.87
601;2024-08-22 07:00:00;6908.28
601;2024-08-22 08:00:00;3230.09
601;2024-08-22 09:00:00;149.33
601;2024-08-22 10:00:00;13.1
601;2024-08-22 11:00:00;19.82
601;2024-08-22 12:00:00;84.88
601;2024-08-22 13:00:00;218.68
601;2024-08-22 14:00:00;325.02
601;2024-08-22 15:00:00;367.5
601;2024-08-22 16:00:00;1411.97
601;2024-08-22 17:00:00;4182.41
601;2024-08-22 18:00:00;10143.4
601;2024-08-22 19:00:00;12365.9
601;2024-08-22 20:00:00;11812
601;2024-08-22 21:00:00;10754.3
601;2024-08-22 22:00:00;10967
601;2024-08-22 23:00:00;11757
601;2024-08-23 00:00:00;13493
601;2024-08-23 01:00:00;13632.5
601;2024-08-23 02:00:00;12249.8
601;2024-08-23 03:00:00;8602.5
601;2024-08-23 04:00:00;4454.1
601;2024-08-23 05:00:00;4939.61
601;2024-08-23 06:00:00;2756.01
601;2024-08-23 07:00:00;1332.7
601;2024-08-23 08:00:00;786.44
601;2024-08-23 09:00:00;188.53
601;2024-08-23 10:00:00;24.54
601;2024-08-23 11:00:00;32.67
601;2024-08-23 12:00:00;535.8
601;2024-08-23 13:00:00;642.23
601;2024-08-23 14:00:00;1008.24
601;2024-08-23 15:00:00;497.69
601;2024-08-23 16:00:00;635.4
601;2024-08-23 17:00:00;684.46
